date,ticker,price,floor,ceiling,weight
2026-08-15,HDFCBANK,727.0,722.0,790.0,27.0
2026-08-15,TATASTEEL,183.5,180.0,193.6,21.6
2026-08-15,INFY,1169.2,1013.9,1195.0,4.1
2026-08-15,ONGC,236.4,235.2,254.2,27.3
2026-08-15,ASIANPAINT,2696.3,2620.1,2864.0,20.0
2026-08-16,HDFCBANK,727.0,722.0,823.7,26.9
2026-08-16,TATASTEEL,183.5,181.2,193.6,23.1
2026-08-16,INFY,1169.2,1013.9,1195.0,4.0
2026-08-16,ONGC,236.4,235.2,254.2,26.5
2026-08-16,ASIANPAINT,2696.3,2620.1,2864.0,19.5
2026-08-17,HDFCBANK,725.15,722.0,790.0,25.9
2026-08-17,TATASTEEL,182.64,181.2,193.6,24.0
2026-08-17,INFY,1143.0,1013.9,1195.0,7.8
2026-08-17,ONGC,237.58,235.2,254.2,23.8
2026-08-17,ASIANPAINT,2698.4,2620.1,2864.0,18.5
2026-08-18,HDFCBANK,725.5,722.0,761.3,25.8
2026-08-18,TATASTEEL,185.55,180.0,193.6,16.8
2026-08-18,INFY,1121.6,1013.9,1195.0,11.5
2026-08-18,ONGC,240.0,235.2,254.2,21.2
2026-08-18,ASIANPAINT,2650.9,2620.1,2864.0,24.8
2026-08-19,HDFCBANK,716.5,716.0,757.9,25.8
2026-08-19,TATASTEEL,184.19,180.0,193.6,18.0
2026-08-19,INFY,1116.9,1013.9,1195.0,11.2
2026-08-19,ONGC,240.13,235.2,254.2,19.3
2026-08-19,ASIANPAINT,2612.2,2607.7,2864.0,25.6
2026-08-20,HDFCBANK,727.2,715.1,757.9,20.6
2026-08-20,TATASTEEL,185.3,180.0,193.6,17.5
2026-08-20,INFY,1136.7,1013.9,1195.0,9.2
2026-08-20,ONGC,236.13,233.6,253.6,25.1
2026-08-20,ASIANPAINT,2611.9,2601.0,2864.0,27.5
2026-08-21,HDFCBANK,731.15,715.1,757.9,19.0
2026-08-21,TATASTEEL,183.85,181.2,193.6,23.9
2026-08-21,INFY,1131.9,1013.9,1195.0,10.6
2026-08-21,ONGC,238.84,233.6,248.2,19.5
2026-08-21,ASIANPAINT,2629.1,2601.0,2864.0,27.1
2026-08-24,HDFCBANK,729.35,715.1,757.9,19.5
2026-08-24,TATASTEEL,185.95,180.0,193.6,16.4
2026-08-24,INFY,1135.7,1097.0,1195.0,17.7
2026-08-24,ONGC,237.07,233.6,245.0,20.3
2026-08-24,ASIANPAINT,2629.5,2601.0,2864.0,26.1
2026-08-25,HDFCBANK,727.75,715.1,757.9,18.0
2026-08-25,TATASTEEL,184.21,180.0,193.6,17.6
2026-08-25,INFY,1127.2,1107.2,1195.0,19.7
2026-08-25,ONGC,235.87,233.6,245.0,20.4
2026-08-25,ASIANPAINT,2613.2,2601.0,2864.0,24.3
2026-08-26,HDFCBANK,725.95,715.1,757.9,19.5
2026-08-26,TATASTEEL,185.51,180.0,193.6,15.5
2026-08-26,INFY,1128.4,1107.2,1195.0,19.8
2026-08-26,ONGC,232.1,230.8,245.0,23.7
2026-08-26,ASIANPAINT,2647.7,2601.0,2864.0,21.5
2026-08-28,HDFCBANK,720.3,710.0,756.8,20.8
2026-08-28,TATASTEEL,186.5,180.0,193.6,13.9
2026-08-28,INFY,1144.0,1107.2,1195.0,15.5
2026-08-28,ONGC,232.25,230.8,245.0,24.0
2026-08-28,ASIANPAINT,2608.7,2601.0,2810.0,25.7
